Date,Product,City,Quantity,Price per Unit ($),Total Price ($),Payment Method,Discount ($),Final Price ($)
2023-07-29,Mouse,Houston,15,972.61,14589.15,Debit Card,668.95,13920.2
2023-06-05,Smartphone,New York,18,1003.3,18059.4,Bank Transfer,5392.65,12666.75
2023-07-02,Monitor,Phoenix,14,1309.44,18332.16,Debit Card,2836.93,15495.23
2023-08-01,Keyboard,Chicago,12,1004.61,12055.32,Bank Transfer,3511.29,8544.03
2023-04-17,Smartphone,New York,2,317.86,635.72,Cash,152.21,483.51
2023-01-04,Mouse,Houston,17,307.32,5224.44,Credit Card,1525.05,3699.39
2023-07-23,Tablet,New York,6,416.12,2496.72,Bank Transfer,26.11,2470.61
2023-02-22,Smartphone,Phoenix,1,262.94,262.94,Bank Transfer,64.46,198.48
2023-09-07,Laptop,Los Angeles,10,1310.48,13104.8,Online Payment,2172.42,10932.38
2023-07-07,Monitor,Houston,15,1823.24,27348.6,Cash,7211.82,20136.78
2023-02-10,Laptop,Houston,2,1504.62,3009.24,Cash,679.72,2329.52
2023-06-19,Smartphone,Phoenix,17,1786.4,30368.8,Debit Card,4314.45,26054.35
2023-01-15,Laptop,Phoenix,20,691.71,13834.2,Credit Card,783.58,13050.62
2023-03-24,Headphones,Houston,17,137.8,2342.6,Credit Card,365.84,1976.76
2023-12-28,Mouse,New York,10,1238.96,12389.6,Cash,222.02,12167.58
2023-03-09,Monitor,Phoenix,14,238.58,3340.12,Online Payment,402.88,2937.24
2023-04-19,Mouse,New York,10,676.76,6767.6,Cash,1648.27,5119.33
2023-09-02,Laptop,Chicago,7,1912.37,13386.59,Bank Transfer,360.5,13026.09
2023-09-03,Keyboard,Phoenix,19,1069.52,20320.88,Online Payment,5766.38,14554.5
2023-12-05,Smartphone,Los Angeles,18,991.25,17842.5,Debit Card,4041.2,13801.3
2023-08-02,Tablet,Houston,15,318.15,4772.25,Debit Card,589.73,4182.52
2023-12-31,Mouse,Los Angeles,8,616.21,4929.68,Bank Transfer,96.69,4832.99
2023-09-24,Monitor,Los Angeles,15,315.19,4727.85,Cash,546.45,4181.4
2023-03-02,Laptop,Chicago,4,1547.39,6189.56,Credit Card,241.36,5948.2
2023-09-15,Monitor,Los Angeles,10,167.05,1670.5,Bank Transfer,41.85,1628.65
2023-02-10,Smartphone,Chicago,5,739.54,3697.7,Cash,554.05,3143.65
2023-08-01,Monitor,New York,4,107.01,428.04,Bank Transfer,28.1,399.94
2023-09-27,Mouse,Phoenix,6,1971.16,11826.96,Online Payment,426.89,11400.07
2023-05-09,Smartphone,Chicago,16,643.78,10300.48,Cash,1406.46,8894.02
2023-07-30,Smartphone,Los Angeles,13,1025.84,13335.92,Bank Transfer,1368.43,11967.49
2023-12-21,Mouse,Houston,9,770.53,6934.77,Bank Transfer,1970.81,4963.96
2023-07-01,Smartphone,Phoenix,19,499.33,9487.27,Cash,1658.3,7828.97
2023-04-28,Keyboard,New York,10,1305.21,13052.1,Debit Card,2245.89,10806.21
2023-08-01,Mouse,Houston,6,1360.03,8160.18,Bank Transfer,851.41,7308.77
2023-04-15,Laptop,Los Angeles,20,1490.08,29801.6,Debit Card,3419.1,26382.5
2023-04-21,Mouse,Houston,19,285.75,5429.25,Online Payment,1360.38,4068.87
2023-05-03,Monitor,Houston,9,62.42,561.78,Online Payment,93.16,468.62
2023-02-06,Smartphone,Houston,10,1610.44,16104.4,Debit Card,3222.25,12882.15
2023-09-30,Monitor,Houston,14,1600.97,22413.58,Credit Card,2948.17,19465.41
2023-05-24,Keyboard,Phoenix,19,1059.38,20128.22,Debit Card,1329.75,18798.47
2023-05-19,Tablet,Houston,11,680.59,7486.49,Cash,530.62,6955.87
